frPhr,brPhr,cbPhr,test
phrase21,images/br_phrase21.png,images/cb_phrase21.png,false
phrase22,images/br_phrase22.png,images/cb_phrase22.png,false
phrase23,images/br_phrase23.png,images/cb_phrase23.png,false
phrase24,images/br_phrase24.png,images/cb_phrase24.png,false
phrase25,images/br_phrase25.png,images/cb_phrase25.png,false
phrase26,images/br_phrase26.png,images/cb_phrase26.png,true
phrase27,images/br_phrase27.png,images/cb_phrase27.png,false
phrase28,images/br_phrase28.png,images/cb_phrase28.png,false
phrase29,images/br_phrase29.png,images/cb_phrase29.png,false
phrase30,images/br_phrase30.png,images/cb_phrase30.png,false
