frWrd,brWrd,cbWrd,test
abats,images/br_abats.png,images/cb_abats.png,false
accès,images/br_acces.png,images/cb_acces.png,false
acheter,images/br_acheter.png,images/cb_acheter.png,false
adulte,images/br_adulte.png,images/cb_adulte.png,false
affiche,images/br_affiche.png,images/cb_affiche.png,false
age,images/br_age.png,images/cb_age.png,false
agile,images/br_agile.png,images/cb_agile.png,false
agir,images/br_agir.png,images/cb_agir.png,false
aidez,images/br_aidez.png,images/cb_aidez.png,false
air,images/br_air.png,images/cb_air.png,true
ami,images/br_ami.png,images/cb_ami.png,false
annonce,images/br_annonce.png,images/cb_annonce.png,false
arbre,images/br_arbre.png,images/cb_arbre.png,false
argent,images/br_argent.png,images/cb_argent.png,false
asthme,images/br_asthme.png,images/cb_asthme.png,true
audio,images/br_audio.png,images/cb_audio.png,false
aussi,images/br_aussi.png,images/cb_aussi.png,false
automne,images/br_automne.png,images/cb_automne.png,false
autre,images/br_autre.png,images/cb_autre.png,false
avec,images/br_avec.png,images/cb_avec.png,true
avez,images/br_avez.png,images/cb_avez.png,false
balai,images/br_balai.png,images/cb_balai.png,false
baleine,images/br_baleine.png,images/cb_baleine.png,false
bande,images/br_bande.png,images/cb_bande.png,false
barbe,images/br_barbe.png,images/cb_barbe.png,false
bas,images/br_bas.png,images/cb_bas.png,false
battre,images/br_battre.png,images/cb_battre.png,true
belle,images/br_belle.png,images/cb_belle.png,true
berceau,images/br_berceau.png,images/cb_berceau.png,false
bien,images/br_bien.png,images/cb_bien.png,false
boite,images/br_boite.png,images/cb_boite.png,false
bon,images/br_bon.png,images/cb_bon.png,false
bouche,images/br_bouche.png,images/cb_bouche.png,false
bourse,images/br_bourse.png,images/cb_bourse.png,false
brosse,images/br_brosse.png,images/cb_brosse.png,false
bruits,images/br_bruits.png,images/cb_bruits.png,false
bête,images/br_bete.png,images/cb_bete.png,false
cadeaux,images/br_cadeaux.png,images/cb_cadeaux.png,false
calé,images/br_cale.png,images/cb_cale.png,false
calmez,images/br_calmez.png,images/cb_calmez.png,false
canoë,images/br_canoe.png,images/cb_canoe.png,false
cantine,images/br_cantine.png,images/cb_cantine.png,false
car,images/br_car.png,images/cb_car.png,false
carotte,images/br_carotte.png,images/cb_carotte.png,false
caveau,images/br_caveau.png,images/cb_caveau.png,false
ceci,images/br_ceci.png,images/cb_ceci.png,false
centre,images/br_centre.png,images/cb_centre.png,false
champ,images/br_champ.png,images/cb_champ.png,false
changer,images/br_changer.png,images/cb_changer.png,false
chapeau,images/br_chapeau.png,images/cb_chapeau.png,true
charmé,images/br_charme.png,images/cb_charme.png,false
chaton,images/br_chaton.png,images/cb_chaton.png,false
chef,images/br_chef.png,images/cb_chef.png,false
chez,images/br_chez.png,images/cb_chez.png,true
choix,images/br_choix.png,images/cb_choix.png,true
choux,images/br_choux.png,images/cb_choux.png,false
claire,images/br_claire.png,images/cb_claire.png,false
club,images/br_club.png,images/cb_club.png,false
codes,images/br_codes.png,images/cb_codes.png,false
coeur,images/br_coeur.png,images/cb_coeur.png,false
coiffer,images/br_coiffer.png,images/cb_coiffer.png,false
complot,images/br_complot.png,images/cb_complot.png,false
compte,images/br_compte.png,images/cb_compte.png,false
cons,images/br_cons.png,images/cb_cons.png,false
conseil,images/br_conseil.png,images/cb_conseil.png,false
content,images/br_content.png,images/cb_content.png,true
coupée,images/br_coupee.png,images/cb_coupee.png,false
courage,images/br_courage.png,images/cb_courage.png,true
cousin,images/br_cousin.png,images/cb_cousin.png,false
crayon,images/br_crayon.png,images/cb_crayon.png,false
crée,images/br_cree.png,images/cb_cree.png,false
dames,images/br_dames.png,images/cb_dames.png,false
danses,images/br_danses.png,images/cb_danses.png,false
dauphin,images/br_dauphin.png,images/cb_dauphin.png,false
demi,images/br_demi.png,images/cb_demi.png,false
dessin,images/br_dessin.png,images/cb_dessin.png,false
destin,images/br_destin.png,images/cb_destin.png,true
deux,images/br_deux.png,images/cb_deux.png,false
devient,images/br_devient.png,images/cb_devient.png,false
doit,images/br_doit.png,images/cb_doit.png,true
diable,images/br_diable.png,images/cb_diable.png,true
dises,images/br_dises.png,images/cb_dises.png,false
donc,images/br_donc.png,images/cb_donc.png,false
drap,images/br_drap.png,images/cb_drap.png,false
droite,images/br_droite.png,images/cb_droite.png,false
durée,images/br_duree.png,images/cb_duree.png,false
dès,images/br_des.png,images/cb_des.png,false
déco,images/br_deco.png,images/cb_deco.png,false
défie,images/br_defie.png,images/cb_defie.png,false
délices,images/br_delices.png,images/cb_delices.png,false
efforts,images/br_efforts.png,images/cb_efforts.png,false
ego,images/br_ego.png,images/cb_ego.png,false
emmener,images/br_emmener.png,images/cb_emmener.png,false
enfant,images/br_enfant.png,images/cb_enfant.png,false
envie,images/br_envie.png,images/cb_envie.png,false
environ,images/br_environ.png,images/cb_environ.png,false
esprit,images/br_esprit.png,images/cb_esprit.png,false
fait,images/br_fait.png,images/cb_fait.png,false
famille,images/br_famille.png,images/cb_famille.png,false
faucons,images/br_faucons.png,images/cb_faucons.png,false
fiche,images/br_fiche.png,images/cb_fiche.png,false
filet,images/br_filet.png,images/cb_filet.png,false
foie,images/br_foie.png,images/cb_foie.png,false
fort,images/br_fort.png,images/cb_fort.png,false
forêt,images/br_foret.png,images/cb_foret.png,false
frit,images/br_frit.png,images/cb_frit.png,false
froid,images/br_froid.png,images/cb_froid.png,false
frotté,images/br_frotte.png,images/cb_frotte.png,true
frôlé,images/br_frole.png,images/cb_frole.png,false
fête,images/br_fete.png,images/cb_fete.png,false
