frWrd,brWrd,cbWrd
,images/br_.png,images/cb_.png
a,images/br_a.png,images/cb_a.png
aboie,images/br_aboie.png,images/cb_aboie.png
aime,images/br_aime.png,images/cb_aime.png
au,images/br_au.png,images/cb_au.png
audrey,images/br_audrey.png,images/cb_audrey.png
avec,images/br_avec.png,images/cb_avec.png
bien,images/br_bien.png,images/cb_bien.png
bleu,images/br_bleu.png,images/cb_bleu.png
bon,images/br_bon.png,images/cb_bon.png
brosser,images/br_brosser.png,images/cb_brosser.png
cadeau,images/br_cadeau.png,images/cb_cadeau.png
café,images/br_cafe.png,images/cb_cafe.png
ce,images/br_ce.png,images/cb_ce.png
cette,images/br_cette.png,images/cb_cette.png
chante,images/br_chante.png,images/cb_chante.png
chaque,images/br_chaque.png,images/cb_chaque.png
chat,images/br_chat.png,images/cb_chat.png
cheval,images/br_cheval.png,images/cb_cheval.png
chez,images/br_chez.png,images/cb_chez.png
chien,images/br_chien.png,images/cb_chien.png
cinéma,images/br_cinema.png,images/cb_cinema.png
congèle,images/br_congele.png,images/cb_congele.png
couche,images/br_couche.png,images/cb_couche.png
court,images/br_court.png,images/cb_court.png
cousine,images/br_cousine.png,images/cb_cousine.png
dans,images/br_dans.png,images/cb_dans.png
de,images/br_de.png,images/cb_de.png
dents,images/br_dents.png,images/cb_dents.png
des,images/br_des.png,images/cb_des.png
dur,images/br_dur.png,images/cb_dur.png
elle,images/br_elle.png,images/cb_elle.png
est,images/br_est.png,images/cb_est.png
et,images/br_et.png,images/cb_et.png
fait,images/br_fait.png,images/cb_fait.png
faut,images/br_faut.png,images/cb_faut.png
faux,images/br_faux.png,images/cb_faux.png
froid,images/br_froid.png,images/cb_froid.png
galope,images/br_galope.png,images/cb_galope.png
il,images/br_il.png,images/cb_il.png
ils,images/br_ils.png,images/cb_ils.png
jamais,images/br_jamais.png,images/cb_jamais.png
jaune,images/br_jaune.png,images/cb_jaune.png
je,images/br_je.png,images/cb_je.png
jouer,images/br_jouer.png,images/cb_jouer.png
jour,images/br_jour.png,images/cb_jour.png
julie,images/br_julie.png,images/cb_julie.png
la,images/br_la.png,images/cb_la.png
laurie,images/br_laurie.png,images/cb_laurie.png
le,images/br_le.png,images/cb_le.png
les,images/br_les.png,images/cb_les.png
livres,images/br_livres.png,images/cb_livres.png
lola,images/br_lola.png,images/cb_lola.png
lucie,images/br_lucie.png,images/cb_lucie.png
légumes,images/br_legumes.png,images/cb_legumes.png
ma,images/br_ma.png,images/cb_ma.png
maison,images/br_maison.png,images/cb_maison.png
manteau,images/br_manteau.png,images/cb_manteau.png
marchez,images/br_marchez.png,images/cb_marchez.png
marine,images/br_marine.png,images/cb_marine.png
matin,images/br_matin.png,images/cb_matin.png
ment,images/br_ment.png,images/cb_ment.png
merci,images/br_merci.png,images/cb_merci.png
moi,images/br_moi.png,images/cb_moi.png
mon,images/br_mon.png,images/cb_mon.png
mère,images/br_mere.png,images/cb_mere.png
nage,images/br_nage.png,images/cb_nage.png
ne,images/br_ne.png,images/cb_ne.png
nuit,images/br_nuit.png,images/cb_nuit.png
pain,images/br_pain.png,images/cb_pain.png
palmier,images/br_palmier.png,images/cb_palmier.png
panier,images/br_panier.png,images/cb_panier.png
parle,images/br_parle.png,images/cb_parle.png
pas,images/br_pas.png,images/cb_pas.png
paul,images/br_paul.png,images/cb_paul.png
pense,images/br_pense.png,images/cb_pense.png
pierre,images/br_pierre.png,images/cb_pierre.png
piscine,images/br_piscine.png,images/cb_piscine.png
plein,images/br_plein.png,images/cb_plein.png
porte,images/br_porte.png,images/cb_porte.png
poupées,images/br_poupees.png,images/cb_poupees.png
pour,images/br_pour.png,images/cb_pour.png
pousse,images/br_pousse.png,images/cb_pousse.png
promène,images/br_promene.png,images/cb_promene.png
père,images/br_pere.png,images/cb_pere.png
regarde,images/br_regarde.png,images/cb_regarde.png
rouge,images/br_rouge.png,images/cb_rouge.png
sa,images/br_sa.png,images/cb_sa.png
sacs,images/br_sacs.png,images/cb_sacs.png
savon,images/br_savon.png,images/cb_savon.png
se,images/br_se.png,images/cb_se.png
sec,images/br_sec.png,images/cb_sec.png
semaine,images/br_semaine.png,images/cb_semaine.png
sent,images/br_sent.png,images/cb_sent.png
ses,images/br_ses.png,images/cb_ses.png
si,images/br_si.png,images/cb_si.png
simon,images/br_simon.png,images/cb_simon.png
son,images/br_son.png,images/cb_son.png
sort,images/br_sort.png,images/cb_sort.png
super,images/br_super.png,images/cb_super.png
sur,images/br_sur.png,images/cb_sur.png
tableau,images/br_tableau.png,images/cb_tableau.png
ton,images/br_ton.png,images/cb_ton.png
un,images/br_un.png,images/cb_un.png
veste,images/br_veste.png,images/cb_veste.png
veut,images/br_veut.png,images/cb_veut.png
vite,images/br_vite.png,images/cb_vite.png
voisin,images/br_voisin.png,images/cb_voisin.png
voiture,images/br_voiture.png,images/cb_voiture.png
vont,images/br_vont.png,images/cb_vont.png
vous,images/br_vous.png,images/cb_vous.png
à,images/br_a.png,images/cb_a.png
écrit,images/br_ecrit.png,images/cb_ecrit.png
