frPhr,brPhr,cbPhr,test
phrase1,images/br_phrase1.png,images/cb_phrase1.png,false
phrase2,images/br_phrase2.png,images/cb_phrase2.png,true
phrase3,images/br_phrase3.png,images/cb_phrase3.png,false
phrase4,images/br_phrase4.png,images/cb_phrase4.png,false
phrase5,images/br_phrase5.png,images/cb_phrase5.png,false
phrase6,images/br_phrase6.png,images/cb_phrase6.png,false
phrase7,images/br_phrase7.png,images/cb_phrase7.png,false
phrase8,images/br_phrase8.png,images/cb_phrase8.png,false
phrase9,images/br_phrase9.png,images/cb_phrase9.png,false
phrase10,images/br_phrase10.png,images/cb_phrase10.png,false
